food_name,energy,protein,fat,carbohydrate
あずき　あん　つぶし生あん,484.0,8.6,0.5,24.5
あずき　あん　つぶし練りあん,1014.0,5.6,0.6,54.0
いんげんまめ　全粒　乾,1180.0,22.1,2.5,56.4
いんげんまめ　全粒　ゆで,535.0,9.3,1.2,24.5
いんげんまめ　うずら豆,908.0,6.7,1.3,49.6
いんげんまめ　こし生あん,568.0,9.4,0.9,27.0
いんげんまめ　豆きんとん,1010.0,4.9,0.5,56.2
えんどう　全粒　青えんどう　乾,1307.0,21.7,2.3,60.4
えんどう　全粒　青えんどう　ゆで,545.0,9.2,1.0,25.2
えんどう　全粒　赤えんどう　乾,1307.0,21.7,2.3,60.4
えんどう　全粒　赤えんどう　ゆで,545.0,9.2,1.0,25.2
えんどう　グリンピース（揚げ豆）,1570.0,20.8,11.6,58.8
えんどう　塩豆,1355.0,23.3,2.4,61.5
えんどう　うぐいす豆,965.0,5.6,0.7,52.9
えんどう　うぐいすあん,936.0,5.4,0.8,54.8
ささげ　全粒　乾,1182.0,23.9,2.0,55.0
ささげ　全粒　ゆで,547.0,10.2,0.9,23.8
そらまめ　全粒　乾,1368.0,26.0,2.0,55.9
そらまめ　フライビーンズ,1820.0,24.7,20.8,46.4
そらまめ　おたふく豆,1002.0,7.9,1.2,52.2
そらまめ　ふき豆,1065.0,9.6,1.6,52.5
そらまめ　しょうゆ豆,731.0,9.8,0.9,37.1
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,1473.0,33.5,19.3,30.1
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,605.0,15.0,8.2,9.9
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,1548.0,33.8,19.7,29.5
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,679.0,14.8,9.8,8.4
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,1674.0,33.0,21.7,28.8
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,1630.0,32.8,19.5,30.8
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,1725.0,33.6,22.6,30.7
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,1452.0,33.9,18.8,28.9
